id,brand,model,type,resolution_label,megapixels,sensor,field_of_view_deg,night_vision_type,ip_rating,two_way_audio,release_year
amcrest-ip8m-2496e,Amcrest,UltraHD 4K Bullet PoE (IP8M-2496E),bullet,4K UHD,8,"1/2.5"" Sony Starvis CMOS",105 horizontal (2.8mm) / 88 horizontal (4mm),ir,IP67,false,2018
amcrest-ip8m-2496ew,Amcrest,4K ColorVu Turret PoE (IP8M-2496E),turret,4K UHD,8,"1/1.8"" CMOS",118 horizontal,color,IP67,true,2024
amcrest-ip8m-2513ew,Amcrest,4K AI PTZ PoE (IP8M-2513E),ptz,4K UHD,8,"1/2.5"" CMOS",103-38 horizontal,ir,IP67,true,
amcrest-ip8m-2556ew,Amcrest,4K AI PTZ Optical Zoom (IP8M-2556E),ptz,4K UHD,8,"1/2.7"" CMOS",94-28 horizontal,color,IP67,false,2024
amcrest-ip8m-2577ew,Amcrest,IP8M-2577E 4K Dome PoE,dome,4K UHD,8,,103h,ir,IP67,false,2023
amcrest-ip8m-2693ew,Amcrest,IP8M-2693EW,dome,4K UHD,8,,,ir,IP67,true,2023
amcrest-ip8m-2779e,Amcrest,UltraHD 4K AI Turret PoE (IP8M-2779E),turret,4K UHD,8,CMOS,129 horizontal,color,IP67,true,
amcrest-ip8m-2837ew,Amcrest,IP8M-2837E 4K 25x PTZ,ptz,4K UHD,8,,60-2.5h,ir,IP66,false,2022
amcrest-ip8m-t2599ew,Amcrest,IP8M-T2599EW,turret,4K UHD,8,,,hybrid,IP67,true,2023
amcrest-ip8m-vt2579ew,Amcrest,IP8M-VT2579EW,turret,4K UHD,8,,,ir,IP67,true,2024
annke-ac400,Annke,AC400,bullet,4MP,4,,,ir,IP67,false,2023
annke-ac500,Annke,AC500,turret,5MP 3K,5,"1/2.7"" CMOS",105 horizontal,hybrid,IP67,true,2023
annke-ac800,Annke,AC800,bullet,4K UHD,8,"1/1.8"" Progressive Scan CMOS",102 horizontal,hybrid,IP67,true,2022
annke-ac800p,Annke,AC800P,ptz,4K UHD,8,,,ir,IP67,true,2023
annke-c1200,Annke,C1200,turret,12MP,12,"1/1.7"" CMOS",,ir,IP67,false,2024
annke-c500,Annke,C500,bullet,5MP 3K,5,"OmniVision 1/2.7"" CMOS",100 horizontal (2.8mm),ir,IP67,false,2021
annke-c700,Annke,C700,bullet,5MP,5,,103h,ir,IP67,false,2021
annke-c800-bullet,Annke,C800 (Bullet),bullet,4K UHD,8,"1/2.7"" CMOS",96 horizontal (4mm),ir,IP67,false,2020
annke-c800-poe-b,Annke,C800 PoE Bullet,bullet,4K UHD,8,,107h,ir,IP67,false,2022
annke-c800-turret,Annke,C800 (Turret),turret,4K UHD,8,"1/2.7"" CMOS",96 horizontal (4mm),ir,IP67,false,2020
annke-c800-wifi,Annke,C800 WiFi,bullet,4K UHD,8,,107h,ir,IP67,false,2022
annke-c800x,Annke,C800X,bullet,4K UHD,8,"1/1.8"" CMOS",102 horizontal,hybrid,IP67,true,2023
annke-c800x-wifi,Annke,C800X WiFi,turret,4K UHD,8,"1/1.8"" CMOS",,hybrid,IP67,true,2023
annke-cr200,Annke,CR200,dome,5MP,5,,103h,ir,IP67,false,2022
annke-cr400,Annke,CR400,bullet,4MP,4,,,color,IP67,false,2023
annke-i61dq,Annke,I61DQ,dual-lens,6MP (dual-lens 180°),6,,180 horizontal,ir,IP67,true,2024
annke-i91bw,Annke,I91BW,bullet,4K UHD,8,,107h,color,IP67,false,2023
annke-n48pob,Annke,N48POB Kit,bullet,4K UHD,8,,107h,color,IP67,true,2023
annke-nc400,Annke,NC400,dome,4MP,4,,107h,ir,IP67,false,2023
annke-nightchroma-ncm800,Annke,NightChroma NCM800,turret,4K UHD,8,"1/1.2"" BSI CMOS",,color,IP67,false,2023
annke-video-doorbell,Annke,Video Doorbell HD,covert,1080p HD,2,,130h,ir,IP44,true,2023
annke-w800,Annke,W800,bullet,4K UHD,8,,107h,color,IP67,true,2023
annke-wz500,Annke,WZ500,ptz,5MP,5,,,ir,IP66,true,2023
aqara-camera-hub-g3,Aqara,Camera Hub G3,ptz,4MP QHD,4,CMOS,360 pan / 90 tilt,ir,IP20,true,2021
aqara-camera-hub-g5-pro,Aqara,Camera Hub G5 Pro,dome,2.6K / 4MP,4,"1/1.8"" graphene-cooled CMOS",133 diagonal,color,IP65,true,2025
aqara-camera-hub-g5-pro-ch,Aqara,Camera Hub G5 Pro (Switzerland),dome,2.6K 4MP,4,"1/1.8"" graphene-cooled CMOS",133 diagonal,color,IP65,true,2025
arlo-baby-monitor,Arlo,Baby Monitor,dome,1080p HD,2,,130 diagonal,ir,,true,2024
arlo-essential-indoor-1st-gen,Arlo,Essential Indoor (1st Gen),dome,1080p HD,2,,130 diagonal,ir,,true,2021
arlo-essential-indoor-2nd-gen,Arlo,Essential Indoor Camera (2nd Gen),dome,1080p,2,,130 diagonal,color,IP20,true,2022
arlo-essential-outdoor-2nd-gen,Arlo,Essential Outdoor (2nd Gen),dome,2K QHD,4,,130 diagonal,color,IP65,true,2023
arlo-essential-outdoor-3rd-gen,Arlo,Essential Outdoor (3rd Gen),dome,2K QHD,4,,130 diagonal,color,IP65,true,2025
arlo-essential-spotlight-1st-gen,Arlo,Essential Spotlight (1st Gen),bullet,1080p HD,2,,130 diagonal,color,IP65,true,2020
arlo-essential-xl-outdoor,Arlo,Essential XL Outdoor (2nd Gen),bullet,2K QHD,4,,160 horizontal,color,IP65,true,2023
arlo-essential-xl-v2,Arlo,Essential XL v2,dome,2K QHD,4,,130 diagonal,color,IP65,true,2025
arlo-essential-xlr,Arlo,Essential XL Spotlight,bullet,1080p,2,,130 diagonal,color,IP65,true,2021
arlo-floodlight-camera-pro,Arlo,Floodlight Camera Pro,bullet,2K QHD,4,,160 horizontal,color,IP55,true,2024
arlo-go-2,Arlo,Go 2,bullet,1080p HD,2,,130 diagonal,color,IP65,true,2022
arlo-indoor-plug-in,Arlo,Indoor Plug-In (Gen 1),dome,2K QHD,4,,130 diagonal,ir,IP20,true,2022
arlo-pro-3,Arlo,Pro 3,dome,2K QHD,4,,160 diagonal,color,IP65,true,2019
arlo-pro-3-floodlight,Arlo,Pro 3 Floodlight,bullet,2K QHD,4,,160 diagonal,color,IP65,true,2020
arlo-pro-4,Arlo,Pro 4 Spotlight Camera,bullet,2K HDR,4,,160 diagonal,color,IP67,true,2021
arlo-pro-4-spotlight,Arlo,Pro 4 Spotlight,dome,2K QHD,4,,160 diagonal,color,IP65,true,2021
arlo-pro-5s,Arlo,Pro 5S 2K Spotlight,bullet,2K HDR,4,,160 diagonal,color,IP67,true,2023
arlo-pro-5s-4k-ultra,Arlo,Pro 5S 4K Ultra,dome,4K UHD HDR,8,,180 horizontal,color,IP65,true,2025
arlo-pro-5s-au,Arlo,Pro 5S (Australia),dome,2K QHD,4,,160 diagonal,color,IP65,true,2024
arlo-pro-5s-ca,Arlo,Pro 5S (Canada),dome,2K QHD,4,,160 diagonal,color,IP65,true,2024
arlo-pro-5s-eu,Arlo,Pro 5S (EU),dome,2K QHD,4,,160 diagonal,color,IP65,true,2024
arlo-pro-5s-spotlight,Arlo,Pro 5S 2K Spotlight,dome,2K QHD,4,,160 diagonal,color,IP65,true,2024
arlo-pro-5s-uk,Arlo,Pro 5S (UK),dome,2K QHD,4,,160 diagonal,color,IP65,true,2024
arlo-security-light,Arlo,Security Light,bullet,2K QHD,4,,130 diagonal,color,IP65,true,2024
arlo-solar-panel-cam,Arlo,Solar Panel Cam,bullet,2K QHD,4,,130 diagonal,color,IP65,true,2024
arlo-ultra,Arlo,Ultra,dome,4K UHD,8,,180 diagonal,color,IP65,true,2019
arlo-ultra-2,Arlo,Ultra 2 Spotlight,dome,4K UHD,8,,180 diagonal,color,IP65,true,2021
arlo-ultra-2-spotlight,Arlo,Ultra 2 Spotlight,dome,4K UHD,8,,180 diagonal,color,IP65,true,2021
arlo-video-doorbell-hd,Arlo,Video Doorbell HD,covert,2K QHD,4,,180 diagonal,color,IP55,true,2023
arlo-wired-doorbell-2nd-gen,Arlo,Video Doorbell Wired (2nd Gen),covert,2K QHD,4,,180 diagonal,color,IP55,true,2024
arlo-wired-floodlight-2025,Arlo,Wired Floodlight Camera (2025),bullet,2K QHD,4,,160 horizontal,color,IP54,true,2025
avigilon-h4ptze-dp30,Avigilon,H4 PTZ 30x (2.0C-H4IRPTZ-DP30),ptz,1080p,2,"1/2.8"" CMOS",60-2.5 horizontal,ir,IP66,false,
avigilon-h5a-bo1-ir-2mp,Avigilon,H5A 2MP Bullet (2.0C-H5A-BO1-IR),bullet,1080p,2,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h5a-bo1-ir-4mp,Avigilon,H5A 4MP Bullet (4.0C-H5A-BO1-IR),bullet,4MP,4,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h5a-bo2-ir-5mp,Avigilon,H5A 5MP Bullet (5.0C-H5A-BO2-IR),bullet,5MP,5,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h5a-d1-2mp,Avigilon,H5A 2MP Indoor Dome (2.0C-H5A-D1),dome,1080p,2,"1/2.8"" CMOS",97-33 horizontal,ir,IP30,false,
avigilon-h5a-dh2-ir-10mp,Avigilon,H5A 10MP Dual Head (10C-H5A-DH2-IR),dual-lens,2x5MP dual sensor,10,"2x 1/2.8"" CMOS",Up to 180 combined,ir,IP66,false,
avigilon-h5a-do,Avigilon,H5A Dome,dome,5MP,5,"1/2.8"" CMOS",108-37 horizontal,ir,IP66,false,2020
avigilon-h5a-do1-ir-2mp,Avigilon,H5A 2MP Dome (2.0C-H5A-DO1-IR),dome,1080p,2,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h5a-mh-15mp,Avigilon,H5A Multisensor 15MP (15C-H5A-3MH-270),panoramic,3x5MP,15,"3x 1/2.8"" CMOS",270 maximum,ir,IP66,false,
avigilon-h5a-mh-24mp,Avigilon,H5A Multisensor 24MP (4x6MP),panoramic,4x6MP,24,"4x 1/2.8"" CMOS",360,ir,IP66,false,
avigilon-h5sl-do1-ir-3mp,Avigilon,H5SL 3MP Outdoor Dome (3.0C-H5SL-DO1-IR),dome,3MP,3,"1/2.7"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h6a-bo1-ir-5mp,Avigilon,H6A 5MP Bullet (5.0C-H6A-BO1-IR),bullet,5MP,5,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h6a-bullet,Avigilon,H6A Bullet,bullet,5MP,5,"1/2.8"" CMOS",103-33 horizontal,ir,IP66,false,2022
avigilon-h6a-dc1-ir-2mp,Avigilon,H6A 2MP Indoor Dome (2.0C-H6A-DC1-IR),dome,1080p,2,"1/2.8"" CMOS",97-33 horizontal,ir,IP22,false,
avigilon-h6a-do-canada,Avigilon,H6A Dome (Canada),dome,5MP,5,"1/2.8"" CMOS",108-37 horizontal,ir,IP66,false,2022
avigilon-h6a-do1-ir-5mp,Avigilon,H6A 5MP Outdoor Dome (5.0C-H6A-DO1-IR),dome,5MP,5,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h6m-d1-ir-2mp,Avigilon,H6M 2MP Mini Dome (2.0C-H6M-D1-IR),dome,1080p,2,"1/2.8"" CMOS",100-36 horizontal,ir,IP22,false,
avigilon-h6ptze-dp30,Avigilon,H6 PTZ 30x Dome (H6PTZE-DP30),ptz,1080p,2,"1/2.8"" CMOS",60-2.5 horizontal,ir,IP66,false,
avigilon-h6sl-bo1-ir-5mp,Avigilon,H6SL 5MP Bullet (5.0C-H6SL-BO1-IR),bullet,5MP,5,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h6sl-do-ir-mena,Avigilon,H6SL Dome (MENA),dome,5MP,5,"1/2.8"" CMOS",110-40 horizontal,ir,IP66,false,2023
avigilon-h6sl-do1-ir-2mp,Avigilon,H6SL 2MP Dome (2.0C-H6SL-DO1-IR),dome,1080p,2,"1/2.8"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h7a-bo1-ir-9mp,Avigilon,H7A 9MP Bullet (9.0C-H7A-BO1-IR),bullet,9MP,9,"1/2"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h7a-do1-ir-5mp,Avigilon,H7A 5MP Dome (5.0C-H7A-DO1-IR),dome,5MP,5,"1/2.7"" CMOS",97-33 horizontal,ir,IP66,false,
avigilon-h7a-dome,Avigilon,H7A Dome,dome,4K UHD,8,"1/1.8"" CMOS",108-35 horizontal,ir,IP66,false,2024
axis-f4105-re,Axis,F4105-RE,covert,1080p HD,2,,115h,ir,IP50,false,2019
axis-fa54,Axis,FA54 Main Unit,dome,1080p,2,"1/2.7"" CMOS",113 horizontal (2.8mm),ir,IP66,false,
axis-fa54-mini,Axis,FA54,dome,1080p HD,2,,110h,none,IP42,false,2020
axis-m2025-le,Axis,M2025-LE,bullet,4MP,4,"1/2.8"" Progressive Scan CMOS",93 horizontal,ir,IP66,false,
axis-m2035-le,Axis,M2035-LE,bullet,4MP,4,"1/2.8"" Progressive Scan CMOS",91 horizontal,ir,IP66,false,
axis-m3048-p,Axis,M3048-P,panoramic,4×1MP multisensor,4,,180h,none,IP42,false,2017
axis-m3064-v,Axis,M3064-V,dome,4MP,4,,103h,none,IP42,false,2015
axis-m3077-plve,Axis,M3077-PLVE,panoramic,6MP,6,"1/1.8"" Progressive Scan CMOS",360 horizontal,ir,IP66,true,2022
axis-m3085-v,Axis,M3085-V,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",95-50 horizontal,ir,IP42,false,2022
axis-m3086-v,Axis,M3086-V,dome,4MP,4,"1/2.8"" Progressive Scan CMOS",105 horizontal,none,IP42,false,2023
axis-m3088-v,Axis,M3088-V,dome,4K UHD,8,"1/2.7"" Progressive Scan CMOS",101 horizontal,none,IP42,false,2024
axis-m3106-l-mk-ii,Axis,M3106-L Mk II,dome,4MP,4,"1/3"" Progressive Scan CMOS",112 horizontal,none,IK08,false,2019
axis-m3106-l-mkii,Axis,M3106-L Mk II,dome,4MP,4,"1/3"" Progressive Scan CMOS",108 horizontal,ir,IP42,false,
axis-m3106-lve,Axis,M3106-LVE Mk II,dome,4MP,4,"1/3"" Progressive Scan CMOS",100-35 horizontal,ir,IP66,false,
axis-m3106-lve-mk-ii,Axis,M3106-LVE Mk II,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",107-36 horizontal,ir,IP66,false,
axis-m3106-ma-mk2,Axis,M3106-MA Mk II,dome,4MP,4,,112h,ir,IP66,false,2020
axis-m3115-lve,Axis,M3115-LVE,dome,1080p,2,"1/2.9"" Progressive Scan CMOS",90 horizontal,ir,IP66,false,
axis-m3116-lve,Axis,M3116-LVE,dome,12MP,12,"1/1.7"" Progressive Scan CMOS",183 horizontal (fisheye-corrected),ir,IP66,false,
axis-m4216-lv,Axis,M4216-LV,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",100-35 horizontal,ir,IP42,false,2024
axis-m4216-v,Axis,M4216-V,dome,4MP,4,"1/2.7"" Progressive Scan CMOS",100-35 horizontal,none,IP42,false,2024
axis-m4317-plve,Axis,M4317-PLVE,panoramic,6MP,6,"1/1.8"" Progressive Scan CMOS",360 horizontal,ir,IP66,false,2023
axis-m4318-plve,Axis,M4318-PLVE,panoramic,4K UHD per channel,8,"1/2"" Progressive Scan CMOS",270 combined,ir,IP66,false,2024
axis-m5076,Axis,M5076,ptz,4K UHD,8,"1/2.8"" Progressive Scan CMOS",55-1.6 horizontal,none,IP31,true,
axis-m5526-e,Axis,M5526-E,ptz,1080p,2,"1/2.8"" Progressive Scan CMOS",58-2.4 horizontal,ir,IP66,false,
axis-p1275,Axis,P1275,covert,1080p,2,"1/2.8"" Progressive Scan CMOS",,none,IP20,false,
axis-p1368-e,Axis,P1368-E,bullet,4K UHD,8,,108h,none,IP66,false,2017
axis-p1448-le,Axis,P1448-LE,bullet,4K UHD,8,"1/1.7"" Progressive Scan CMOS",123 horizontal,ir,IP66,false,
axis-p1465-le,Axis,P1465-LE,bullet,1080p,2,"1/2.8"" Progressive Scan CMOS",100-35 horizontal,ir,IP67,false,2023
axis-p1465-le-3,Axis,P1465-LE-3 License Plate Verifier,bullet,1080p,2,"1/2.8"" Progressive Scan CMOS",100-35 horizontal,ir,IP67,false,2023
axis-p3245-lv,Axis,P3245-LV,dome,1080p HD,2,,100-33h,ir,IP42,false,2021
axis-p3245-lve,Axis,P3245-LVE,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",100-36 horizontal,ir,IP66,true,
axis-p3245-lve-3,Axis,P3245-LVE-3,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",100-36 horizontal,ir,IP66,false,
axis-p3245-v,Axis,P3245-V,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",100-35 horizontal,ir,IP42,true,
axis-p3245-v-mena,Axis,P3245-V (MENA),dome,1080p HD,2,"1/2.8"" Progressive Scan CMOS",100-31 horizontal,ir,IP42,false,2021
axis-p3245-ve,Axis,P3245-VE,dome,1080p HD,2,,100-33h,ir,IP66,false,2021
axis-p3265-lv,Axis,P3265-LV,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",100-36 horizontal,ir,IP42,true,2024
axis-p3265-lve,Axis,P3265-LVE,dome,1080p,2,"1/2.8"" progressive scan RGB CMOS",100-36 horizontal / 53-20 vertical,ir,IP66,true,
axis-p3265-lve-3,Axis,P3265-LVE-3,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",100-36 horizontal,ir,IP66,false,2025
axis-p3265-v,Axis,P3265-V,dome,1080p,2,"1/2.8"" Progressive Scan CMOS",36-15 horizontal (tele),none,IP42,true,2024
axis-p3267-lv,Axis,P3267-LV,dome,4K UHD,7,"1/1.8"" Progressive Scan CMOS",100-36 horizontal,ir,IP52,false,2023
axis-p3267-lve,Axis,P3267-LVE,dome,4K UHD,7,"1/1.8"" Progressive Scan CMOS",100-36 horizontal,ir,IP52,false,2023
axis-p3268-lve,Axis,P3268-LVE,dome,4K UHD,8,,95-28h,ir,IP66,false,2023
axis-p3344,Axis,P3344-V,dome,1080p HD,2,,100-33h,ir,IP66,false,2011
axis-p3727-ple,Axis,P3727-PLE,panoramic,4x2MP multisensor,8,"4x 1/2.8"" Progressive Scan CMOS",360 (wall/ceiling mount),ir,IP66,false,
axis-p3737-ple,Axis,P3737-PLE,panoramic,4x5MP multisensor,20,"4x 1/2.8"" Progressive Scan CMOS",360 (wall/ceiling),ir,IP66,false,
axis-p3818-pve,Axis,P3818-PVE,panoramic,4x5MP multisensor,20,"4x 1/2.8"" CMOS",360,none,IP66,false,
axis-p5655-e,Axis,P5655-E,ptz,1080p HD,2,,55-1.7h,none,IP66,false,2019
axis-p5676-le,Axis,P5676-LE,ptz,4MP,4,"1/2.8"" Progressive Scan CMOS",57.9-2.4 horizontal,ir,IP66,false,
axis-p5676-le-mkii,Axis,P5676-LE MKII,ptz,4K UHD,8,"1/2.5"" Progressive Scan CMOS",56.5-5.1 horizontal,ir,IP66,false,2024
axis-q1656,Axis,Q1656,box,4K UHD,8,"1/1.7"" Progressive Scan CMOS",,none,IP42,false,
axis-q1656-be,Axis,Q1656-BE,box,4K UHD,8,"1/1.7"" Progressive Scan CMOS",,none,IP66,false,
axis-q1785-le,Axis,Q1785-LE,bullet,1080p,2,"1/2.9"" Progressive Scan CMOS",100-36 horizontal,ir,IP66,false,
axis-q1942-e,Axis,Q1942-E,bullet,640x480 thermal,0,Thermal VOx LWIR uncooled microbolometer,,none,IP66,false,
axis-q1952-e,Axis,Q1952-E,bullet,640x480 thermal,0.3,Uncooled microbolometer,61 horizontal,none,IP66,false,2022
axis-q2101-e,Axis,Q2101-E Thermal,bullet,384×288 thermal,0,Uncooled microbolometer LWIR,45 horizontal (10mm),none,IP66,false,2021
axis-q3527-lve,Axis,Q3527-LVE,dome,5MP,5,"1/2.7"" Progressive Scan CMOS",100-35 horizontal,ir,IP66,true,
axis-q3536-lve,Axis,Q3536-LVE,dome,4K UHD,8,"1/1.8"" Progressive Scan CMOS",100-35 horizontal,ir,IP66,false,
axis-q3538-lve,Axis,Q3538-LVE,dome,4K UHD,8,"1/1.2"" Progressive Scan RGB CMOS",60-31 horizontal,ir,IP66,false,
axis-q3538-slve,Axis,Q3538-SLVE,dome,4K UHD,8,"1/1.2"" Progressive Scan RGB CMOS",60-31 horizontal,ir,IP68,false,
axis-q3538-ve,Axis,Q3538-VE,dome,4K UHD,8,,102-33h,ir,IP66,false,2023
axis-q3819-pve,Axis,Q3819-PVE,panoramic,3x4MP = 12MP 180deg panoramic,12,"3x 1/1.8"" Progressive Scan CMOS",180,ir,IP66,false,2024
axis-q6100-e,Axis,Q6100-E,panoramic,4x3MP multisensor + PTZ stream,12,"4x 1/2.8"" CMOS + 1/2.8"" PTZ sensor",360,ir,IP66,false,
axis-q6114-e,Axis,Q6114-E,ptz,1080p HD,2,,56-2h,none,IP66,false,2013
axis-q6135-le,Axis,Q6135-LE,ptz,1080p,2,"1/2.8"" Progressive Scan CMOS",58.3-2.4 horizontal,ir,IP66,false,
axis-q6135-le-mena,Axis,Q6135-LE (MENA),ptz,1080p HD,2,"1/2.8"" Progressive Scan CMOS",61.5-2.1 horizontal,ir,IP66,false,2021
axis-q6315-le,Axis,Q6315-LE,ptz,4MP,4,"1/2.8"" Progressive Scan CMOS",57.9-2.4 horizontal,ir,IP66,false,
axis-q6318-le,Axis,Q6318-LE,ptz,4K UHD,8,"1/1.8"" Progressive Scan CMOS",58.3-2.4 horizontal,ir,IP66,true,2024
axis-q9307-lv,Axis,Q9307-LV,covert,1080p HD,2,,118h,ir,IP42,false,2022
blink-indoor,Blink,Indoor,box,1080p HD,2,,110 diagonal,ir,,true,2020
blink-mini,Blink,Mini,dome,1080p HD,2,,110 diagonal,ir,,true,2020
blink-mini-2,Blink,Mini 2,dome,1080p HD,2,,110 diagonal,color,IP54,true,2023
blink-mini-2-au,Blink,Mini 2 (Australia),dome,1080p HD,2,,110h,color,IP54,true,2023
blink-mini-2k-plus,Blink,Mini 2K+,dome,2K QHD,4,,110 diagonal,color,IP54,true,2025
blink-mini-pan-tilt-mount,Blink,Mini Pan-Tilt Mount,ptz,1080p HD,2,,360 pan / 70 tilt,color,,true,2024
blink-mini-pro,Blink,Mini Pro,dome,2K QHD,4,,110 diagonal,color,IP54,true,2024
blink-outdoor-2k-plus,Blink,Outdoor 2K+,bullet,2K QHD,4,,110 diagonal,ir,IP65,true,2024
blink-outdoor-3rd-gen,Blink,Outdoor (3rd Gen),bullet,1080p HD,2,,110 diagonal,ir,IP65,true,2022
blink-outdoor-4,Blink,Outdoor 4,bullet,1080p HD,2,,110 diagonal,ir,IP65,true,2023
blink-outdoor-4-eu,Blink,Outdoor 4 (EU),bullet,1080p HD,2,,110 diagonal,ir,IP65,true,2023
blink-outdoor-4-floodlight,Blink,Outdoor 4 Floodlight,bullet,1080p HD,2,,150 diagonal,color,IP65,true,2023
blink-outdoor-4-plus-solar,Blink,Outdoor 4+ Solar,bullet,2K+ HD,4,,136 diagonal,ir,IP65,true,2024
